step,loss,epoch
5,1.237787628173828,2.5
10,1.1770998001098634,5.0
15,1.0880106925964355,7.5
20,1.0154363632202148,10.0
25,0.9534755706787109,12.5
30,0.914726448059082,15.0
35,0.8731240272521973,17.5
40,0.8313968658447266,20.0
45,0.8092764854431153,22.5
50,0.7831587791442871,25.0
55,0.7728398323059082,27.5
60,0.7617429733276367,30.0
