label,format_rate,semantic_rate,avg_similarity,avg_token_overlap,avg_output_length,total,max_new_tokens
base,0.0,0.0,0.185,0.185,875.3,10,256
tuned,0.0,0.2,0.37441919191919193,0.37441919191919193,860.4,10,256
