label,format_rate,semantic_rate,avg_similarity,avg_token_overlap,avg_output_length,total,max_new_tokens
base,0.0,0.4,0.45244949494949493,0.45244949494949493,1019.5,10,256
tuned,0.0,0.4,0.45035353535353534,0.45035353535353534,1040.2,10,256
